Local time,Open,High,Low,Close,Volume
03.07.2023 00:49:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 00:50:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 00:51:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 00:52:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 00:53:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 00:54:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 00:55:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 00:56:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 00:57:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 00:58:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 00:59:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:00:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:01:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:02:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:03:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:04:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:05:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:06:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:07:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:08:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:09:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:10:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:11:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:12:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:13:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:14:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:15:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:16:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:17:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:18:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:19:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:20:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:21:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:22:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:23:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:24:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:25:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:26:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:27:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:28:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:29:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:30:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:31:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:32:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:33:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:34:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:35:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:36:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:37:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:38:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:39:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:40:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:41:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:42:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:43:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:44:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:45:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:46:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:47:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:48:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:49:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:50:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:51:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:52:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:53:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:54:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:55:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:56:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:57:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:58:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 01:59:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:00:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:01:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:02:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:03:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:04:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:05:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:06:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:07:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:08:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:09:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:10:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:11:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:12:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:13:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:14:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:15:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:16:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:17:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:18:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:19:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:20:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:21:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:22:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:23:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:24:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:25:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:26:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:27:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:28:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:29:00.000 GMT+0530,1.09095,1.09095,1.09095,1.09095,0
03.07.2023 02:30:00.000 GMT+0530,1.09094,1.09094,1.09074,1.09089,3.25
03.07.2023 02:31:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,26
03.07.2023 02:32:00.000 GMT+0530,1.09089,1.09094,1.09089,1.09089,25.2
03.07.2023 02:33:00.000 GMT+0530,1.09089,1.09094,1.09089,1.09094,5.8
03.07.2023 02:34:00.000 GMT+0530,1.09096,1.09096,1.09096,1.09096,0.9
03.07.2023 02:35:00.000 GMT+0530,1.09100,1.09100,1.09099,1.09099,4.5
03.07.2023 02:36:00.000 GMT+0530,1.09099,1.09099,1.09099,1.09099,0.9
03.07.2023 02:37:00.000 GMT+0530,1.09099,1.09099,1.09099,1.09099,0.9
03.07.2023 02:38:00.000 GMT+0530,1.09101,1.09101,1.09101,1.09101,2.7
03.07.2023 02:39:00.000 GMT+0530,1.09101,1.09110,1.09101,1.09109,3.6
03.07.2023 02:40:00.000 GMT+0530,1.09109,1.09110,1.09109,1.09109,8.1
03.07.2023 02:41:00.000 GMT+0530,1.09109,1.09114,1.09109,1.09114,4.5
03.07.2023 02:42:00.000 GMT+0530,1.09114,1.09114,1.09114,1.09114,4.5
03.07.2023 02:43:00.000 GMT+0530,1.09114,1.09114,1.09114,1.09114,0
03.07.2023 02:44:00.000 GMT+0530,1.09112,1.09112,1.09111,1.09112,6.07
03.07.2023 02:45:00.000 GMT+0530,1.09112,1.09113,1.09106,1.09109,13.05
03.07.2023 02:46:00.000 GMT+0530,1.09110,1.09110,1.09109,1.09110,6.3
03.07.2023 02:47:00.000 GMT+0530,1.09109,1.09112,1.09107,1.09112,6.3
03.07.2023 02:48:00.000 GMT+0530,1.09112,1.09112,1.09112,1.09112,0
03.07.2023 02:49:00.000 GMT+0530,1.09112,1.09112,1.09112,1.09112,0
03.07.2023 02:50:00.000 GMT+0530,1.09112,1.09112,1.09089,1.09089,11.5
03.07.2023 02:51:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,0
03.07.2023 02:52:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,0
03.07.2023 02:53:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,0
03.07.2023 02:54:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,1
03.07.2023 02:55:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,1
03.07.2023 02:56:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,0
03.07.2023 02:57:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,0
03.07.2023 02:58:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,0
03.07.2023 02:59:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,5.94
03.07.2023 03:00:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,0
03.07.2023 03:01:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,0
03.07.2023 03:02:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,0
03.07.2023 03:03:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,0
03.07.2023 03:04:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,0
03.07.2023 03:05:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,0
03.07.2023 03:06:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,1.96
03.07.2023 03:07:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,0.98
03.07.2023 03:08:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,0
03.07.2023 03:09:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,0
03.07.2023 03:10:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,0
03.07.2023 03:11:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,0.98
03.07.2023 03:12:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,10.78
03.07.2023 03:13:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,6.86
03.07.2023 03:14:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,4.9
03.07.2023 03:15:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,4.9
03.07.2023 03:16:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,3.92
03.07.2023 03:17:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,2.94
03.07.2023 03:18:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,1.96
03.07.2023 03:19:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,1.96
03.07.2023 03:20:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,0.98
03.07.2023 03:21:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,1.96
03.07.2023 03:22:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,1.96
03.07.2023 03:23:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,0.98
03.07.2023 03:24:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,3.92
03.07.2023 03:25:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,0.98
03.07.2023 03:26:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,0.98
03.07.2023 03:27:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,0.98
03.07.2023 03:28:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,1.96
03.07.2023 03:29:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,1.96
03.07.2023 03:30:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,10.78
03.07.2023 03:31:00.000 GMT+0530,1.09084,1.09099,1.09084,1.09099,63.97
03.07.2023 03:32:00.000 GMT+0530,1.09101,1.09109,1.09099,1.09103,58.5
